Metal,C,Al,Cu,Cr,Ni,Mg,Nb,Mn,Mo,Si,Ti,V,N,P,S,Fe
Al,0,997,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Cu,0,0,990,0,0,0,0,0,0,0,0,0,0,0,0,10
HC_Cr,80,0,0,520,0,0,0,0,0,15,0,0,30,0.3,0.3,354.5
LC_Cr,1,0,0,550,0,0,0,0,0,15,0,0,30,0.3,0.3,403.5
SiCr,10,10,0,300,0,0,0,15,0,420,0,0,0,0.5,0.3,244.2
Ni,0.6,0,2,0.5,350,0,0,0,0,6,0,0,0,0.3,0.6,640
Mg,0,0,0,0,0,999,0,0,0,0,0,0,0,0,0,1
Nb,1.4,3.3,0,0,0,0,660,3.2,0,28.3,2.7,0,0,1.6,0.8,298.7
Mo,1,0,5,0,0,0,0,0,700,15,0,0,0,0.5,1,277.5
Si,0.5,5,0,0,0,0,0,0,0,760,0,0,0,0.2,0,234.3
Ti,1.5,50,0,0,0,0,0,0,0,2.5,700,0,5,0,0,241
V,1,20,1,0,0,0,0,4,0,8,0,800,0,0.5,0.5,165
NV,60,1.5,0,0,0,0,0,0,0,0,0,790,140,0,0,8.5
Mn,0,0,0,0,0,0,0,997,0,0,0,0,0,0,0,3
LC_Mn,7,0,0,0,0,0,0,800,0,15,0,0,0,3.5,0.5,174
MC_Mn,15,0,0,0,0,0,0,780,0,15,0,0,0,3.5,0.5,186
HC_Mn,80,0,0,0,0,0,0,750,0,15,0,0,0,3.5,0.5,151
SiMn,25,0,0,0,0,0,0,650,0,170,0,0,0,3,0.4,151.7
